country;location;public_spendingPRY_NTRY2013;public_spendingPRY_TRY2013;public_spendingTRY2013;private_spendingPRY_NTRY2012;private_spendingPRY_NTRY2013;private_spendingPRY_NTRY2014;private_spendingPRY_TRY2012;private_spendingPRY_TRY2013;private_spendingPRY_TRY2014;private_spendingTRY2012;private_spendingTRY2013;private_spendingTRY2014;reading2000;reading2003;reading2006;reading2009;reading2012;reading2015;maths2003;maths2006;maths2009;maths2012;maths2015;science2006;science2009;science2012;science2015;GDP_2000;GDP_2001;GDP_2002;GDP_2003;GDP_2004;GDP_2005;GDP_2006;GDP_2007;GDP_2008;GDP_2009;GDP_2010;GDP_2011;GDP_2012;GDP_2013;GDP_2014;GDP_2015;GDPpc_2000;GDPpc_2001;GDPpc_2002;GDPpc_2003;GDPpc_2004;GDPpc_2005;GDPpc_2006;GDPpc_2007;GDPpc_2008;GDPpc_2009;GDPpc_2010;GDPpc_2011;GDPpc_2012;GDPpc_2013;GDPpc_2014;GDPpc_2015;life_expectancy;st2staffL0;st2staffL0_C1;st2staffL0_C2;st2staffL1;st2staffL2;st2staffL2_3;st2staffL3;st2staffL4;st2staffL5;st2staffL5T8;st2staffL6T8;innovationCCL;innovationCFLMAT;innovationCFLSCI;innovationCGL4;innovationCGL8;innovationCOV;innovationCSL;ineqGINI_1987;ineqGINI_1988;ineqGINI_1989;ineqGINI_1990;ineqGINI_1991;ineqGINI_1992;ineqGINI_1993;ineqGINI_1994;ineqGINI_1995;ineqGINI_1996;ineqGINI_1997;ineqGINI_1998;ineqGINI_1999;ineqGINI_2000;ineqGINI_2001;ineqGINI_2002;ineqGINI_2003;ineqGINI_2004;ineqGINI_2005;ineqGINI_2006;ineqGINI_2007;ineqGINI_2008;ineqGINI_2009;ineqGINI_2010;ineqGINI_2011;ineqGINI_2012;ineqGINI_2013;ineqGINI_2014;ineqP50P10_1987;ineqP50P10_1988;ineqP50P10_1989;ineqP50P10_1990;ineqP50P10_1991;ineqP50P10_1992;ineqP50P10_1993;ineqP50P10_1994;ineqP50P10_1995;ineqP50P10_1996;ineqP50P10_1997;ineqP50P10_1998;ineqP50P10_1999;ineqP50P10_2000;ineqP50P10_2001;ineqP50P10_2002;ineqP50P10_2003;ineqP50P10_2004;ineqP50P10_2005;ineqP50P10_2006;ineqP50P10_2007;ineqP50P10_2008;ineqP50P10_2009;ineqP50P10_2010;ineqP50P10_2011;ineqP50P10_2012;ineqP50P10_2013;ineqP50P10_2014;ineqP90P10_1987;ineqP90P10_1988;ineqP90P10_1989;ineqP90P10_1990;ineqP90P10_1991;ineqP90P10_1992;ineqP90P10_1993;ineqP90P10_1994;ineqP90P10_1995;ineqP90P10_1996;ineqP90P10_1997;ineqP90P10_1998;ineqP90P10_1999;ineqP90P10_2000;ineqP90P10_2001;ineqP90P10_2002;ineqP90P10_2003;ineqP90P10_2004;ineqP90P10_2005;ineqP90P10_2006;ineqP90P10_2007;ineqP90P10_2008;ineqP90P10_2009;ineqP90P10_2010;ineqP90P10_2011;ineqP90P10_2012;ineqP90P10_2013;ineqP90P10_2014;ineqP90P50_1987;ineqP90P50_1988;ineqP90P50_1989;ineqP90P50_1990;ineqP90P50_1991;ineqP90P50_1992;ineqP90P50_1993;ineqP90P50_1994;ineqP90P50_1995;ineqP90P50_1996;ineqP90P50_1997;ineqP90P50_1998;ineqP90P50_1999;ineqP90P50_2000;ineqP90P50_2001;ineqP90P50_2002;ineqP90P50_2003;ineqP90P50_2004;ineqP90P50_2005;ineqP90P50_2006;ineqP90P50_2007;ineqP90P50_2008;ineqP90P50_2009;ineqP90P50_2010;ineqP90P50_2011;ineqP90P50_2012;ineqP90P50_2013;ineqP90P50_2014;ineqS80S20_1987;ineqS80S20_1988;ineqS80S20_1989;ineqS80S20_1990;ineqS80S20_1991;ineqS80S20_1992;ineqS80S20_1993;ineqS80S20_1994;ineqS80S20_1995;ineqS80S20_1996;ineqS80S20_1997;ineqS80S20_1998;ineqS80S20_1999;ineqS80S20_2000;ineqS80S20_2001;ineqS80S20_2002;ineqS80S20_2003;ineqS80S20_2004;ineqS80S20_2005;ineqS80S20_2006;ineqS80S20_2007;ineqS80S20_2008;ineqS80S20_2009;ineqS80S20_2010;ineqS80S20_2011;ineqS80S20_2012;ineqS80S20_2013;ineqS80S20_2014;ineqS90S10_1987;ineqS90S10_1988;ineqS90S10_1989;ineqS90S10_1990;ineqS90S10_1991;ineqS90S10_1992;ineqS90S10_1993;ineqS90S10_1994;ineqS90S10_1995;ineqS90S10_1996;ineqS90S10_1997;ineqS90S10_1998;ineqS90S10_1999;ineqS90S10_2000;ineqS90S10_2001;ineqS90S10_2002;ineqS90S10_2003;ineqS90S10_2004;ineqS90S10_2005;ineqS90S10_2006;ineqS90S10_2007;ineqS90S10_2008;ineqS90S10_2009;ineqS90S10_2010;ineqS90S10_2011;ineqS90S10_2012;ineqS90S10_2013;ineqS90S10_2014;vTPercentFem;vTAge;vTYExp;vTPercentCompleteTrain;vTPercentFemPrincipals;vTAgePrincipals;vTYExpPrincipals;vTBelieveProfValInSocPrincipals;vTSatisfPrincipals;vTFI;vTMentor;vTMentorToOther;vTProfDev;vTNeedICT;vTNeedSN;vTFB1;vTFB2;vTEvalSchool;vTEvalClass;vTtimepW;vTtimePrep;vTTime1;vTTime2;vTTime3;vtTimeTeaching;vTBelieveHelpStudentsValueLearning;vTBelieveHelpStudentsThinkCritic;vTBelieveProfValInSoc;vTSatisf;valueLOWSRY_AVGAGE;valueLOWSRY_WORK
Australia;AUS;3.4;4.7;1.3;4;3.9;;5.6;5.6;;1.6;1.7;;528;525;513;515;512;503;524;520;514;504;494;527;527;521;510;539799.4;568862.8;599770.4;636095.6;675258.6;719165.8;774487;826249.1;851398.3;900317.3;938600.8;987220.3;991827.8;1098874;1108435;1131787;28141.31;29298.61;30541.44;32034.06;33620.43;35337.51;37441.84;39187.32;39537.86;41087.14;42238.57;43722.11;43169.93;47085.69;46841.54;47028.48;82.4;;;4.8;15.6;;;;;;;15.1;19.45575;21.85608;17.73228;21.39461;17.05541;18.13179;16.14584;;;;;;;;;;;;;;;;;;;;;;;;;;.326;;.337;;;;;;;;;;;;;;;;;;;;;;;;;;2.2;;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;4.4;;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;5.5;;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;8.8;;9.4;59.2;43.4;16.7;97.6;38.6;53.2;8;56.9;97.8;52.6;16.7;28;96.6;13.6;8.2;31.2;45;97.2;94.6;18.6;7.1;5.1;7;14.5;78.1;81.3;78.4;38.5;90;43.4;16.7
Austria;AUT;3.2;5;1.8;3.1;3.2;;4.9;5;;1.8;1.7;;492;491;490;;490;485;506;505;;506;497;511;;506;495;234747.5;239060.6;251504;259781.7;274981.8;286878.3;309706;324775.8;341669.4;339610.2;350483.1;371229.2;389747.3;405016;415624.4;426990.5;29301.08;29725.43;31118.57;31999.73;33659.8;34877.64;37458.63;39152.3;41058.43;40713.41;41918.46;44254.36;46253.61;47776.93;48645.57;49480.22;81.6;12.9;9.3;13.9;12;8.8;9.3;10;10.9;9;14.7;16.7;12.60504;17.90564;16.6144;17.20549;16.74433;15.58314;20.05029;;;;;;;;;;;;;;;;;;.269;.261;.268;.285;.281;.289;.28;.282;.276;.28;;;;;;;;;;;;;;;;;;;1.8;1.8;1.8;2;1.9;2;1.9;1.9;2;1.9;;;;;;;;;;;;;;;;;;;3.2;3.2;3.2;3.6;3.5;3.6;3.5;3.5;3.5;3.4;;;;;;;;;;;;;;;;;;;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;;;;;;;;;;;;;;;;;;;3.9;3.8;3.9;4.4;4.3;4.5;4.3;4.4;4.3;4.2;;;;;;;;;;;;;;;;;;;6;5.8;6;6.9;6.9;7.5;6.7;7.1;7;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belgium;BEL;4.3;5.8;1.4;4.3;4.4;;5.7;5.8;;1.4;1.4;;507;507;501;506;509;499;529;520;515;515;507;510;507;505;502;286696.1;298566.8;314972;322227;336193.9;349277;373467.4;391644.2;408408.8;410781.4;437233.8;455704.9;471332.3;486334.2;502560.8;514744.6;27981.27;29040.64;30491;31064.02;32273.58;33347.05;35423.26;36871.04;38144.1;38070.57;40175.85;41510.74;42639.08;43794.16;45044.44;45910.14;81.4;15.4;;15.4;12.7;9.2;9.7;9.9;16.6;;22.5;;;;;;;;;;;;;;;;;;;;;;;;;;.288;.278;.27;.28;.269;.275;.27;.272;.268;.268;;;;;;;;;;;;;;;;;;;1.9;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;3.4;3.4;3.5;3.4;3.4;3.5;3.4;3.4;3.4;3.5;;;;;;;;;;;;;;;;;;;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;;;;;;;;;;;;;;;;;;;4.2;4.1;4.1;4.2;4;4.1;4.1;4.1;4;4;;;;;;;;;;;;;;;;;;;6.4;6.3;6;6.4;5.9;6.2;6;6.1;5.8;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brazil;BRA;4.4;5.5;1.1;4.3;4.3;;5.1;5.2;;.8;.9;;396;403;393;412;407;407;356;370;386;389;377;390;405;402;401;1575641;1638266;1714202;1768321;1921619;2046960;2193408;2388517;2559422;2575606;2803343;2974955;3091549;3239945;3340163;;9084.21;9314.401;9615.43;9790.333;10505.73;11055.64;11708.47;12606.79;13362.87;13307.6;14339.51;15070.92;15516.51;16116.5;16472.78;;74.5;15;12.5;17;20.9;17.8;16.7;15.4;18.7;49.6;24.6;24.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71.1;39.2;13.6;75.8;74.5;45;7.3;24.8;92.2;32.4;33.7;6.4;91.5;27.5;60.1;70.1;79.9;86.6;92.9;25.4;7.1;5.7;12.2;19.8;66.7;94.8;95.1;12.6;87;39.2;13.6
Canada;CAN;;;;3.6;;;6.1;;;2.5;;;534;528;527;524;523;527;532;527;527;518;516;534;529;525;528;898024.7;934754.6;967558.4;1019620;1079987;1167581;1238001;1297165;1339061;1304488;1361136;1427467;1464565;1552127;1604000;1586726;29265.22;30133.35;30854.82;32224.02;33815.12;36212.64;38009.87;39441.96;40277.62;38791.07;40027.2;41565.26;42143.98;44150.32;45127.61;44257.95;;;;;16.5;;;13.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.316;.318;.316;.318;.316;.314;.321;.322;;;;;;;;;;;;;;;;;;;;;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;;;;;;;;;;;;;;;;;;;;;4.3;4.2;4.2;4.3;4.1;4.2;4.3;4.4;;;;;;;;;;;;;;;;;;;;;1.9;1.9;1.9;1.9;1.9;1.9;1.9;2;;;;;;;;;;;;;;;;;;;;;5.2;5.3;5.2;5.3;5.2;5.2;5.4;5.5;;;;;;;;;;;;;;;;;;;;;8.6;8.7;8.7;8.9;8.6;8.6;9.2;9.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Switzerland;CHE;3.5;4.8;1.3;3.8;;;5.1;5.1;;1.2;1.2;;494;499;499;501;509;492;527;530;534;531;521;512;517;515;506;256298.8;266507.7;274505;276031.1;289199.1;300888.8;336415.1;373532.9;400107.8;399834.6;414217.7;442451.2;460545;484084.7;501817.5;518065.4;35355.43;36605.92;37430.46;37362.12;38879.2;40213.04;44705.5;49222.49;52096.61;51428.73;52728.48;55918.72;57590.72;59842.25;61282.09;62550.18;83.3;15.7;;15.7;14.8;11.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.295;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;2.7;3.8;1.2;3.6;3.4;3.1;6.1;5.8;5.5;2.5;2.4;2.3;410;;442;449;441;459;;411;421;423;423;438;447;445;447;146960.7;155221.8;161844.4;171298.8;188358;206427.4;254577.4;277257.6;273618.8;273085.4;310516.8;348602.3;371592.6;396228.6;406938.6;419386.8;9544.278;9968.209;10278.72;10760.33;11706.49;12677.25;15498.27;16703.92;16322.21;16132.38;18165.97;20188.53;21294.73;22462.32;22815.28;23241.54;79;25.7;13.3;26.1;21.3;22.8;23.5;23.9;;;;;18.33673;20.62838;22.79543;;19.68143;19.98229;22.45062;;;;;;;;;;;;;;;;;;;;;;;.48;;.471;;.465;;;;;;;;;;;;;;;;;;;;;;;;2.6;;2.6;;2.5;;;;;;;;;;;;;;;;;;;;;;;;7.9;;7.6;;7.4;;;;;;;;;;;;;;;;;;;;;;;;3.1;;3;;2.9;;;;;;;;;;;;;;;;;;;;;;;;11.8;;11.3;;10.6;;;;;;;;;;;;;;;;;;;;;;;;24.5;;22.1;;20.6;;62.8;41.3;15.1;85.7;53.4;53.7;11.3;36.5;97.9;36.6;4.5;6.6;71.7;12.8;25.8;68.3;82;95.9;100;26.7;5.8;4.1;10.8;15.3;73.1;91;90.2;33.6;94.6;41.3;15.1
Colombia;COL;;;;.7;4.3;;2.6;6.6;;1.9;2.2;;;;;;;425;;;;;390;;;;416;266073.6;276703.3;287986;305237.7;330356.9;357035.3;392651.5;430917.8;454954.4;465980.3;490405.4;533513;565312.9;602530.9;639287.8;;6603.049;6779.693;6968.164;7293.794;7797.23;8324.715;9046.028;9809.878;10234.93;10359.99;10775.87;11586.87;12135.91;12786.89;;;74.1;;;;24.3;26.3;24.9;21.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Czech Republic;CZE;2.5;3.4;.9;2.8;2.7;;4.2;4;;1.4;1.3;;492;489;483;478;493;487;516;510;493;499;492;513;500;508;493;165438.5;179364.9;184989.3;197368.2;211909.5;223723.5;243192.3;268368.9;288526.9;287910.1;289714.5;302260.3;305309.4;320824.8;340876.5;356145.4;16104.98;17543.19;18134.82;19346.69;20761.35;21860.61;23687.61;25997.97;27663.99;27442.25;27546.61;28795.82;29051.39;30523.58;32387.98;33780.46;78.9;13.7;;13.7;18.7;11.9;11.8;11.7;20.7;11.7;22.3;22.3;13.22314;15.78254;15.27439;11.86372;15.76325;15.12697;17.98271;;;;;;;;;;;;;;;;;;.268;.261;.261;.257;.26;.258;.262;.259;.256;.262;;;;;;;;;;;;;;;;;;;1.7;1.7;1.7;1.7;1.7;1.7;1.8;1.7;1.7;1.7;;;;;;;;;;;;;;;;;;;3.2;3.1;3.1;3;2.9;3;3.1;3.1;3;3.1;;;;;;;;;;;;;;;;;;;1.8;1.8;1.8;1.8;1.7;1.8;1.8;1.8;1.8;1.8;;;;;;;;;;;;;;;;;;;3.8;3.7;3.7;3.6;3.7;3.7;3.7;3.7;3.6;3.7;;;;;;;;;;;;;;;;;;;5.7;5.4;5.4;5.3;5.5;5.5;5.7;5.5;5.4;5.6;;76.5;44.2;17.7;76.7;48.4;50.3;9.7;24.7;94.7;45.2;3.8;7.7;82.5;14.8;8;30.3;56.9;99.8;100;17.8;8.3;4.5;6.6;8.8;84;39;51.8;12.2;88.6;44.2;17.7
Germany;DEU;2.9;4.2;1.3;3.1;3.1;;4.4;4.3;;1.2;1.2;;484;491;495;497;508;509;503;504;513;514;506;516;520;524;509;2242493;2350370;2419132;2475051;2594276;2636420;2822340;2997500;3122547;3036965;3210822;3427141;3503684;3651075;3814255;3924034;27529.78;28832.88;29654.22;30350.48;31848.8;32413.54;34769.44;37009.82;38662.61;37734.24;39993.3;42692.5;43564.07;45272.86;47099.46;48037.43;81.2;8.1;5;10.1;15.4;13.4;13.3;13.1;13.3;13.1;11.8;11.8;17.81939;16.27903;16.26405;14.80737;18.21404;18.5183;19.56666;;;;;;;;;;;;;;;;;;;;;;.285;;;.291;.289;.292;;;;;;;;;;;;;;;;;;;;;;;1.9;;;1.9;1.9;1.9;;;;;;;;;;;;;;;;;;;;;;;3.5;;;3.5;3.5;3.6;;;;;;;;;;;;;;;;;;;;;;;1.8;;;1.9;1.9;1.9;;;;;;;;;;;;;;;;;;;;;;;4.3;;;4.4;4.3;4.4;;;;;;;;;;;;;;;;;;;;;;;6.7;;;6.8;6.6;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
